"plot_in_year","ACMGLA","AMSMEN","BRATOR","BRODIA","BROMAD","CALCIL","CRACON","CROSET","CRYINT","EROCIC","EROMOS","EUCCHR","HORMUR","LUPBIC","LUPSPA","LUPTRU","NEMMEN","PECLIN","PHADIS","SCHBAR","SISERY","SONOLE"
"G_2_L.2023.raked",0,0.115151515151515,0.315151515151515,0.545454545454545,0,0,0,0.00606060606060606,0,0.0181818181818182,0,0,0,0,0,0,0,0,0,0,0,0
"G_2_U.2023.unraked",0,0.0535714285714286,0.125,0.803571428571429,0,0,0,0.0178571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_3_L.2023.unraked",0,0.079646017699115,0.115044247787611,0.79646017699115,0,0,0,0,0,0,0.00884955752212389,0,0,0,0,0,0,0,0,0,0,0
"G_3_U.2023.raked",0,0.0588235294117647,0.0672268907563025,0.756302521008403,0,0,0,0.092436974789916,0,0.0252100840336134,0,0,0,0,0,0,0,0,0,0,0,0
"G_4_L.2023.raked",0,0.0495867768595041,0.173553719008264,0.743801652892562,0,0,0,0.0165289256198347,0.00826446280991736,0.00826446280991736,0,0,0,0,0,0,0,0,0,0,0,0
"G_4_U.2023.unraked",0,0.100917431192661,0.0642201834862385,0.81651376146789,0,0,0,0.0091743119266055,0,0.0091743119266055,0,0,0,0,0,0,0,0,0,0,0,0
"G_5_L.2023.unraked",0,0.0421052631578947,0.0105263157894737,0.926315789473684,0,0,0,0.0105263157894737,0,0.0105263157894737,0,0,0,0,0,0,0,0,0,0,0,0
"G_5_U.2023.raked",0,0.182608695652174,0.0260869565217391,0.765217391304348,0,0,0,0.0260869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_6_L.2023.raked",0,0.00909090909090909,0.0363636363636364,0.818181818181818,0,0,0,0.0545454545454545,0,0.0727272727272727,0,0.00909090909090909,0,0,0,0,0,0,0,0,0,0
"G_6_U.2023.unraked",0,0.0948275862068965,0.0517241379310345,0.775862068965517,0,0,0,0.00862068965517241,0,0.0517241379310345,0,0.0172413793103448,0,0,0,0,0,0,0,0,0,0
"G_7_L.2023.unraked",0,0.116504854368932,0,0.87378640776699,0,0,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,0,0,0,0,0
"G_7_U.2023.raked",0,0.025,0.0583333333333333,0.75,0,0,0,0.0166666666666667,0,0.141666666666667,0,0,0,0,0,0,0,0,0,0,0,0.00833333333333333
"G_8_L.2023.raked",0,0.0707070707070707,0.0101010101010101,0.909090909090909,0,0,0,0,0,0.0101010101010101,0,0,0,0,0,0,0,0,0,0,0,0
"G_8_U.2023.unraked",0,0.0515463917525773,0.0206185567010309,0.927835051546392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_9_L.2023.unraked",0,0,0.0388349514563107,0.87378640776699,0.029126213592233,0,0,0,0,0.058252427184466,0,0,0,0,0,0,0,0,0,0,0,0
"G_9_U.2023.raked",0,0.273972602739726,0.0821917808219178,0.616438356164384,0,0,0,0.00684931506849315,0,0,0.00684931506849315,0.00684931506849315,0,0,0,0,0,0,0,0.00684931506849315,0,0
"G_10_L.2023.raked",0,0.232,0.016,0.72,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_10_U.2023.unraked",0,0.275590551181102,0.0078740157480315,0.708661417322835,0,0,0,0.0078740157480315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
